window_id,train_start,train_end,validate_start,validate_end,best_params,in_sample_pnl,in_sample_trades,in_sample_pf,in_sample_sharpe,out_sample_pnl,out_sample_trades,out_sample_pf,out_sample_sharpe,robustness_score,robustness_class
1,2025-12-15,2026-01-28,2026-01-29,2026-02-11,"{""reward_risk_ratio"": 2.5, ""breakout_buffer_ticks"": 1, ""max_entry_time"": ""11:30"", ""min_range_ticks"": 4, ""max_range_ticks"": 80}",-478.7950000000001,29,0.7862159652083837,-1.9699196947130986,0,0,999.0,0.0,35.03,acceptable
2,2025-12-22,2026-02-04,2026-02-05,2026-02-19,"{""reward_risk_ratio"": 2.0, ""breakout_buffer_ticks"": 1, ""max_entry_time"": ""11:30"", ""min_range_ticks"": 4, ""max_range_ticks"": 120}",-317.87,44,0.911227598841577,-0.6986090326541529,532.6999999999999,10,1.4322390094286037,2.7466236926731162,35.57,acceptable
3,2025-12-30,2026-02-11,2026-02-12,2026-02-26,"{""reward_risk_ratio"": 2.0, ""breakout_buffer_ticks"": 1, ""max_entry_time"": ""11:30"", ""min_range_ticks"": 4, ""max_range_ticks"": 120}",105.82000000000006,41,1.0323406804317796,0.23167814137445342,1043.9899999999998,12,1.7828065834364337,4.849165336551341,43.13,acceptable
4,2026-01-07,2026-02-19,2026-02-20,2026-03-05,"{""reward_risk_ratio"": 2.5, ""breakout_buffer_ticks"": 1, ""max_entry_time"": ""11:30"", ""min_range_ticks"": 4, ""max_range_ticks"": 80}",422.8999999999999,20,1.2473475499198707,1.0098981698406433,-101.23,1,0.0,-5.291502622129182,53.44,acceptable
